timestamp,distancia_cm,tipo_obstaculo,nome_obstaculo,id_cenario,duracao
0,202.2953770762014,1,Pessoa em Movimento,0,100
1,203.806631157944,1,Pessoa em Movimento,0,100
2,200.0528361408092,1,Pessoa em Movimento,0,100
3,199.81344042148544,1,Pessoa em Movimento,0,100
4,203.2007114115265,1,Pessoa em Movimento,0,100
5,201.33772668394548,1,Pessoa em Movimento,0,100
6,198.62447989889768,1,Pessoa em Movimento,0,100
7,200.40912020306746,1,Pessoa em Movimento,0,100
8,198.15773617539855,1,Pessoa em Movimento,0,100
9,197.9136834990109,1,Pessoa em Movimento,0,100
10,199.08963899441142,1,Pessoa em Movimento,0,100
11,194.53972540709165,1,Pessoa em Movimento,0,100
12,194.67702167650913,1,Pessoa em Movimento,0,100
13,196.76285372818117,1,Pessoa em Movimento,0,100
14,195.6223379911222,1,Pessoa em Movimento,0,100
15,198.03706634210954,1,Pessoa em Movimento,0,100
16,195.3530949710045,1,Pessoa em Movimento,0,100
17,194.1051071645043,1,Pessoa em Movimento,0,100
18,199.6215835501459,1,Pessoa em Movimento,0,100
19,195.99930485645766,1,Pessoa em Movimento,0,100
20,196.3464853119345,1,Pessoa em Movimento,0,100
21,193.12250397525966,1,Pessoa em Movimento,0,100
22,194.64380634376417,1,Pessoa em Movimento,0,100
23,195.7149884173622,1,Pessoa em Movimento,0,100
24,192.9517275282258,1,Pessoa em Movimento,0,100
25,195.76568216488968,1,Pessoa em Movimento,0,100
26,193.57358019348862,1,Pessoa em Movimento,0,100
27,193.95204151886762,1,Pessoa em Movimento,0,100
28,193.09258723912333,1,Pessoa em Movimento,0,100
29,197.76112827772792,1,Pessoa em Movimento,0,100
30,193.79014890436213,1,Pessoa em Movimento,0,100
31,191.46229294105413,1,Pessoa em Movimento,0,100
32,194.98337606830023,1,Pessoa em Movimento,0,100
33,190.65717038927977,1,Pessoa em Movimento,0,100
34,193.27715632435923,1,Pessoa em Movimento,0,100
35,188.7006603317181,1,Pessoa em Movimento,0,100
36,189.72419992680872,1,Pessoa em Movimento,0,100
37,192.53486594147176,1,Pessoa em Movimento,0,100
38,193.37864807485226,1,Pessoa em Movimento,0,100
39,192.00502292236933,1,Pessoa em Movimento,0,100
40,191.19156124034083,1,Pessoa em Movimento,0,100
41,190.58122185906666,1,Pessoa em Movimento,0,100
42,187.98695671463832,1,Pessoa em Movimento,0,100
43,189.2648837237117,1,Pessoa em Movimento,0,100
44,189.54386604370947,1,Pessoa em Movimento,0,100
45,192.33995948319483,1,Pessoa em Movimento,0,100
46,190.67352305502186,1,Pessoa em Movimento,0,100
47,186.2207776102874,1,Pessoa em Movimento,0,100
48,190.15559730493035,1,Pessoa em Movimento,0,100
49,188.49783625043608,1,Pessoa em Movimento,0,100
50,187.67472825578471,1,Pessoa em Movimento,0,100
51,190.01249627920632,1,Pessoa em Movimento,0,100
52,190.6117141916444,1,Pessoa em Movimento,0,100
53,190.17284683001284,1,Pessoa em Movimento,0,100
54,186.3924229904631,1,Pessoa em Movimento,0,100
55,187.21300473033386,1,Pessoa em Movimento,0,100
56,188.25452778997138,1,Pessoa em Movimento,0,100
57,189.3036626265369,1,Pessoa em Movimento,0,100
58,186.15479534172954,1,Pessoa em Movimento,0,100
59,186.5023973092204,1,Pessoa em Movimento,0,100
60,184.42161675966392,1,Pessoa em Movimento,0,100
61,184.00244490464257,1,Pessoa em Movimento,0,100
62,187.78048124272024,1,Pessoa em Movimento,0,100
63,188.6284811002014,1,Pessoa em Movimento,0,100
64,185.53255224502703,1,Pessoa em Movimento,0,100
65,187.4442097290997,1,Pessoa em Movimento,0,100
66,185.92098742853884,1,Pessoa em Movimento,0,100
67,183.66804731436127,1,Pessoa em Movimento,0,100
68,185.4416494797163,1,Pessoa em Movimento,0,100
69,187.55550284675934,1,Pessoa em Movimento,0,100
70,184.1683490807354,1,Pessoa em Movimento,0,100
71,187.12985991571125,1,Pessoa em Movimento,0,100
72,178.52165384103168,1,Pessoa em Movimento,0,100
73,185.16552050308954,1,Pessoa em Movimento,0,100
74,183.4563810759434,1,Pessoa em Movimento,0,100
75,182.44484368366324,1,Pessoa em Movimento,0,100
76,182.98695138279393,1,Pessoa em Movimento,0,100
77,178.58886344564905,1,Pessoa em Movimento,0,100
78,181.88522894430375,1,Pessoa em Movimento,0,100
79,182.7993693081302,1,Pessoa em Movimento,0,100
80,184.80150369971767,1,Pessoa em Movimento,0,100
81,180.5697466188153,1,Pessoa em Movimento,0,100
82,179.74987129470412,1,Pessoa em Movimento,0,100
83,180.12391585844938,1,Pessoa em Movimento,0,100
84,182.7188056261505,1,Pessoa em Movimento,0,100
85,181.30607505519367,1,Pessoa em Movimento,0,100
86,179.34962387346815,1,Pessoa em Movimento,0,100
87,181.19625059235688,1,Pessoa em Movimento,0,100
88,180.1244422699542,1,Pessoa em Movimento,0,100
89,181.62814859745183,1,Pessoa em Movimento,0,100
90,178.04732387375927,1,Pessoa em Movimento,0,100
91,178.55667721344636,1,Pessoa em Movimento,0,100
92,178.1883566455055,1,Pessoa em Movimento,0,100
93,175.80611450063353,1,Pessoa em Movimento,0,100
94,179.08595639615484,1,Pessoa em Movimento,0,100
95,178.7763978315134,1,Pessoa em Movimento,0,100
96,178.0250856455665,1,Pessoa em Movimento,0,100
97,177.30625591065922,1,Pessoa em Movimento,0,100
98,174.7052601384366,1,Pessoa em Movimento,0,100
99,176.45528242213464,1,Pessoa em Movimento,0,100
0,198.66787875953915,1,Pessoa em Movimento,1,100
1,198.18795488402233,1,Pessoa em Movimento,1,100
2,199.0337053359769,1,Pessoa em Movimento,1,100
3,194.72955575914295,1,Pessoa em Movimento,1,100
4,195.53664284139884,1,Pessoa em Movimento,1,100
5,195.78470372171086,1,Pessoa em Movimento,1,100
6,193.60114516932148,1,Pessoa em Movimento,1,100
7,192.8637303317116,1,Pessoa em Movimento,1,100
8,195.8976929823891,1,Pessoa em Movimento,1,100
9,194.94974256475462,1,Pessoa em Movimento,1,100
10,191.27176662393614,1,Pessoa em Movimento,1,100
11,191.20249836706463,1,Pessoa em Movimento,1,100
12,193.06039055033872,1,Pessoa em Movimento,1,100
13,186.9489305020535,1,Pessoa em Movimento,1,100
